Date : 2023-12-23 04:12:14
Directory : /home/manuareraa/Personal/github/personal/sierra-sih23/frontend
Total : 59 files,  27261 codes, 553 comments, 527 blanks, all 28341 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          4 |     15,635 |          0 |          2 |     15,637 |
| JavaScript JSX |         32 |      7,100 |        457 |        423 |      7,980 |
| JavaScript     |         10 |      4,286 |         55 |         61 |      4,402 |
| Solidity       |          1 |        158 |         36 |         26 |        220 |
| HTML           |          1 |         25 |          1 |          2 |         28 |
| CSS            |          2 |         24 |          4 |          8 |         36 |
| XML            |          7 |         20 |          0 |          0 |         20 |
| Properties     |          1 |          8 |          0 |          1 |          9 |
| Markdown       |          1 |          5 |          0 |          4 |          9 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                       |         59 |     27,261 |        553 |        527 |     28,341 |
| . (Files)                                                                                               |          7 |     13,875 |          4 |         13 |     13,892 |
| public                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| src                                                                                                     |         51 |     13,385 |        549 |        514 |     14,448 |
| src (Files)                                                                                             |          5 |        430 |         11 |         26 |        467 |
| src/assets                                                                                              |          6 |         19 |          0 |          0 |         19 |
| src/assets (Files)                                                                                      |          1 |          1 |          0 |          0 |          1 |
| src/assets/img                                                                                          |          1 |          1 |          0 |          0 |          1 |
| src/assets/svg                                                                                          |          4 |         17 |          0 |          0 |         17 |
| src/components                                                                                          |          9 |        337 |         27 |         32 |        396 |
| src/components (Files)                                                                                  |          1 |        161 |          9 |          7 |        177 |
| src/components/loader                                                                                   |          1 |         10 |          2 |          4 |         16 |
| src/components/navbars                                                                                  |          7 |        166 |         16 |         21 |        203 |
| src/data                                                                                                |          2 |      3,914 |         52 |         52 |      4,018 |
| src/locales                                                                                             |          4 |          6 |          0 |          1 |          7 |
| src/locales (Files)                                                                                     |          2 |          4 |          0 |          1 |          5 |
| src/locales/en                                                                                          |          1 |          1 |          0 |          0 |          1 |
| src/locales/hi                                                                                          |          1 |          1 |          0 |          0 |          1 |
| src/pages                                                                                               |         17 |      5,017 |        401 |        312 |      5,730 |
| src/pages (Files)                                                                                       |          1 |        103 |          8 |         10 |        121 |
| src/pages/Five                                                                                          |          3 |      1,158 |         63 |         69 |      1,290 |
| src/pages/Four                                                                                          |          1 |        780 |         35 |         47 |        862 |
| src/pages/One                                                                                           |          3 |        496 |         40 |         43 |        579 |
| src/pages/Three                                                                                         |          2 |        800 |         38 |         38 |        876 |
| src/pages/Two                                                                                           |          3 |      1,586 |        215 |         89 |      1,890 |
| src/pages/verify                                                                                        |          4 |         94 |          2 |         16 |        112 |
| src/smart-contract                                                                                      |          3 |      1,992 |         36 |         26 |      2,054 |
| src/translation                                                                                         |          1 |          4 |          0 |          1 |          5 |
| src/utils                                                                                               |          4 |      1,666 |         22 |         64 |      1,752 |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                | language       | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/README.md                               | Markdown       |          5 |          0 |          4 |          9 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/index.html                              | HTML           |         25 |          1 |          2 |         28 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/package-lock.json                       | JSON           |     13,747 |          0 |          1 |     13,748 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/package.json                            | JSON           |         54 |          0 |          1 |         55 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/postcss.config.js                       | JavaScript     |          6 |          0 |          1 |          7 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/public/vite.svg                         | XML            |          1 |          0 |          0 |          1 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/App.css                             | CSS            |          0 |          0 |          1 |          1 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/App.jsx                             | JavaScript JSX |         65 |          7 |         10 |         82 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/assets/img/studentIcon.svg          | XML            |          1 |          0 |          0 |          1 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/assets/react.svg                    | XML            |          1 |          0 |          0 |          1 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/assets/svg/done.svg                 | XML            |          1 |          0 |          0 |          1 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/assets/svg/loading.svg              | XML            |         10 |          0 |          0 |         10 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/assets/svg/location.svg             | XML            |          5 |          0 |          0 |          5 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/assets/svg/tick.svg                 | XML            |          1 |          0 |          0 |          1 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/components/Navbar.jsx               | JavaScript JSX |        161 |          9 |          7 |        177 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/components/loader/Loading.jsx       | JavaScript JSX |         10 |          2 |          4 |         16 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/components/navbars/FiveNavbar.jsx   | JavaScript JSX |         29 |          0 |          3 |         32 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/components/navbars/FourNavbar.jsx   | JavaScript JSX |         29 |          0 |          3 |         32 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/components/navbars/OneNavbar.jsx    | JavaScript JSX |         29 |          0 |          3 |         32 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/components/navbars/SixNavbar.jsx    | JavaScript JSX |         21 |          8 |          3 |         32 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/components/navbars/ThreeNavbar.jsx  | JavaScript JSX |         21 |          8 |          3 |         32 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/components/navbars/TwoNavbar.jsx    | JavaScript JSX |         29 |          0 |          3 |         32 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/components/navbars/ZeroNavbar.jsx   | JavaScript JSX |          8 |          0 |          3 |         11 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/data/schools.js                     | JavaScript     |         33 |          0 |          1 |         34 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/data/students.js                    | JavaScript     |      3,881 |         52 |         51 |      3,984 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/i18n.js                             | JavaScript     |        322 |          0 |          3 |        325 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/index.css                           | CSS            |         24 |          4 |          7 |         35 |
